sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN700525_c7_g1_i1,AZ1,AZ3,7.12507502429508,11.7090941553063,7.63093496838576e-17,2.00334935725031e-12
TRINITY_DN697762_c5_g1_i11,AZ1,AZ3,-7.09294294568503,8.18778176888996,6.29606080843543e-16,8.26452422019276e-12
TRINITY_DN690930_c3_g1_i5,AZ1,AZ3,-6.83148815519048,8.04770197011502,3.7260962042214e-15,3.26070678831415e-11
TRINITY_DN691304_c3_g1_i4,AZ1,AZ3,6.92628121798548,7.14095651660035,2.42754031586475e-14,1.27489494822312e-10
TRINITY_DN696364_c0_g2_i9,AZ1,AZ3,-6.62351135748878,7.52070627788187,2.42809383351068e-14,1.27489494822312e-10
TRINITY_DN698331_c3_g1_i15,AZ1,AZ3,-6.37696361599861,6.41895603165639,3.69664883380303e-13,1.61746869723051e-09
TRINITY_DN695482_c0_g1_i10,AZ1,AZ3,-6.01992047372237,7.3000739489565,6.03585298664853e-13,2.26370354940691e-09
TRINITY_DN695655_c1_g1_i6,AZ1,AZ3,-6.20449326278132,6.37235998018312,1.05639888088155e-12,3.46670497747293e-09
TRINITY_DN697121_c6_g3_i1,AZ1,AZ3,-6.09860784192293,6.48840192082878,1.79118542030132e-12,5.22488787101896e-09
TRINITY_DN696775_c0_g1_i1,AZ1,AZ3,-5.84334237749027,7.18013652808093,1.99723689391298e-12,5.24334601758975e-09
TRINITY_DN698053_c3_g1_i10,AZ1,AZ3,-5.68705004781228,7.22511932924818,4.2899497213863e-12,1.02385500032322e-08
TRINITY_DN696363_c2_g1_i14,AZ1,AZ3,-5.46406320570149,8.72313706423811,7.61939097295529e-12,1.66693226010829e-08
TRINITY_DN687889_c0_g1_i2,AZ1,AZ3,5.79375170025555,5.85064188979015,4.27599073274115e-11,8.63519882358872e-08
TRINITY_DN696229_c1_g2_i3,AZ1,AZ3,-5.35456006846332,6.69962189030824,5.00927960861625e-11,9.39347268321446e-08
TRINITY_DN679902_c1_g1_i3,AZ1,AZ3,-5.59975810713584,5.77417037340215,5.72883926142557e-11,1.0026614475347e-07
TRINITY_DN684649_c6_g1_i5,AZ1,AZ3,-5.23587137782402,6.28833745509222,1.53445143676182e-10,2.51774709808176e-07
TRINITY_DN696024_c1_g1_i1,AZ1,AZ3,-5.25936258820694,6.17406130524437,2.07261425450916e-10,3.20072600138994e-07
TRINITY_DN528793_c0_g1_i2,AZ1,AZ3,5.24830537163066,6.29832520284196,2.60033593427535e-10,3.79258996014059e-07
TRINITY_DN697502_c13_g1_i2,AZ1,AZ3,-4.84385869387613,11.2399164815752,2.78225389640533e-10,3.84434271275417e-07
TRINITY_DN697727_c7_g1_i24,AZ1,AZ3,-5.04344595696207,6.81038765347609,3.20137198154826e-10,4.20228093157932e-07
TRINITY_DN697052_c1_g1_i1,AZ1,AZ3,-4.89184440586006,7.0166326770132,6.20732071327818e-10,7.76003765169963e-07
TRINITY_DN696862_c3_g3_i2,AZ1,AZ3,-4.82493474571824,6.98279492709198,7.81014228507691e-10,9.31998479136927e-07
TRINITY_DN694309_c7_g2_i1,AZ1,AZ3,5.2444143447181,5.67472372225921,9.22398091618636e-10,1.05285726518539e-06
TRINITY_DN694564_c1_g1_i5,AZ1,AZ3,5.29696255951082,5.37552616163801,1.06221570249387e-09,1.14278627423278e-06
TRINITY_DN689692_c9_g5_i1,AZ1,AZ3,5.06811277320576,6.02153583860578,1.08824350953489e-09,1.14278627423278e-06
TRINITY_DN698855_c12_g1_i1,AZ1,AZ3,-4.71848124424648,7.05319950253653,1.44976045092654e-09,1.4638677353144e-06
TRINITY_DN684879_c2_g1_i1,AZ1,AZ3,-4.75869655683277,6.1187644907728,2.36994698055018e-09,2.30437844742163e-06
TRINITY_DN690771_c13_g3_i1,AZ1,AZ3,-4.87113538937075,5.47355344058331,2.74043828545354e-09,2.56945451100042e-06
TRINITY_DN695120_c10_g2_i6,AZ1,AZ3,-4.85305036458707,5.54329151329711,2.97542362525908e-09,2.69357918737678e-06
TRINITY_DN696093_c0_g2_i1,AZ1,AZ3,-4.97499841915821,5.16082750768545,3.15977536597643e-09,2.76511942276597e-06
TRINITY_DN699173_c2_g1_i3,AZ1,AZ3,-4.48526169072665,7.81557124268788,4.19536579156989e-09,3.5529334879382e-06
TRINITY_DN697800_c1_g2_i1,AZ1,AZ3,-4.5958368049814,6.49209571028711,4.56159933698608e-09,3.74236460605923e-06
TRINITY_DN695655_c1_g1_i2,AZ1,AZ3,-4.57106253989539,6.4307251091468,5.21600551930438e-09,4.10772603083567e-06
TRINITY_DN698745_c9_g3_i1,AZ1,AZ3,5.04486133569802,5.32162313961432,5.33861374208916e-09,4.10772603083567e-06
TRINITY_DN682112_c10_g2_i10,AZ1,AZ3,-4.87244118097805,5.1759249208443,5.47634217343726e-09,4.10772603083567e-06
TRINITY_DN697208_c1_g1_i7,AZ1,AZ3,5.03427014451967,5.31161898122558,5.63804660520151e-09,4.1115454868432e-06
TRINITY_DN695330_c1_g1_i6,AZ1,AZ3,-4.51270885537316,6.79939601256609,6.27845248106048e-09,4.45481656716975e-06
TRINITY_DN698323_c2_g2_i9,AZ1,AZ3,-4.39060604799617,7.1395474712062,9.84087651923936e-09,6.79875082262081e-06
TRINITY_DN695565_c6_g1_i16,AZ1,AZ3,-4.63001902908702,5.48731602264127,1.15489257852192e-08,7.77420381126566e-06
TRINITY_DN673533_c0_g1_i1,AZ1,AZ3,-4.35220914773813,7.24045523414271,1.2373688955989e-08,8.12116140403945e-06
TRINITY_DN697052_c1_g1_i2,AZ1,AZ3,4.60985278170846,5.69127881756176,1.5036453622369e-08,9.62809797434279e-06
TRINITY_DN666190_c0_g1_i1,AZ1,AZ3,-4.71554882352715,4.90828086808359,1.56055192596153e-08,9.75456421720668e-06
TRINITY_DN699844_c2_g1_i13,AZ1,AZ3,4.62582053209164,5.60256576742449,1.76838433784661e-08,1.07966032608109e-05
TRINITY_DN693651_c14_g1_i1,AZ1,AZ3,-4.47288730537818,5.61139803629203,1.98344192539325e-08,1.18343865607611e-05
TRINITY_DN691447_c13_g1_i8,AZ1,AZ3,-4.24781012689263,7.02372177235864,2.46083546952161e-08,1.43565141291891e-05
TRINITY_DN675923_c0_g1_i1,AZ1,AZ3,-4.31246272879756,6.18255863991571,2.63419521869513e-08,1.48582170244843e-05
TRINITY_DN684726_c8_g1_i11,AZ1,AZ3,-4.62986082175756,4.82524279683299,2.66002437874058e-08,1.48582170244843e-05
TRINITY_DN57437_c0_g1_i1,AZ1,AZ3,4.47783300465699,5.66399112012364,2.72493180452737e-08,1.49036738883869e-05
TRINITY_DN676953_c0_g1_i1,AZ1,AZ3,4.20283898072488,6.96016760817354,3.56524608672939e-08,1.91017154112054e-05
TRINITY_DN697578_c2_g2_i4,AZ1,AZ3,4.45424900936672,5.5453442097047,3.87546725489593e-08,2.00103220788462e-05
TRINITY_DN697874_c2_g1_i2,AZ1,AZ3,-4.31447996565151,5.74342044035092,3.88727545812347e-08,2.00103220788462e-05
TRINITY_DN697587_c11_g3_i3,AZ1,AZ3,-4.34338945468549,5.42289594481379,4.39537851807535e-08,2.21907446605831e-05
TRINITY_DN696087_c13_g2_i1,AZ1,AZ3,-4.41830043490846,5.03539596420552,4.51262836551193e-08,2.23528363169405e-05
TRINITY_DN694469_c11_g1_i7,AZ1,AZ3,-4.51505701059142,4.71431980925135,5.45878166942312e-08,2.60771398358095e-05
TRINITY_DN698452_c14_g1_i8,AZ1,AZ3,-4.01648265723614,9.89500672693326,5.48322478802029e-08,2.60771398358095e-05
TRINITY_DN697359_c2_g1_i11,AZ1,AZ3,-4.25828626472874,5.78936162888652,5.59734818744488e-08,2.60771398358095e-05
TRINITY_DN694668_c1_g1_i12,AZ1,AZ3,-4.12262950941604,6.79929367000929,5.66181758519461e-08,2.60771398358095e-05
TRINITY_DN699385_c2_g1_i8,AZ1,AZ3,-4.17723885756324,6.01507818924663,6.00926810558015e-08,2.7200226823413e-05
TRINITY_DN697587_c11_g9_i1,AZ1,AZ3,-4.47905153680945,4.55454718082052,7.22877715800299e-08,3.21656079201784e-05
TRINITY_DN683202_c14_g1_i3,AZ1,AZ3,-4.44798606003342,4.76485968245482,7.4565685921292e-08,3.26262158748613e-05
TRINITY_DN692981_c7_g2_i8,AZ1,AZ3,-4.05387607947856,6.8598830450046,8.33101541282421e-08,3.58547783004711e-05
TRINITY_DN684686_c10_g5_i1,AZ1,AZ3,-4.45210105526012,4.52860120991441,8.61456320048946e-08,3.62562619043511e-05
TRINITY_DN689321_c5_g2_i9,AZ1,AZ3,-4.03573171342317,6.92083533229477,8.70050851321417e-08,3.62562619043511e-05
TRINITY_DN566660_c0_g1_i2,AZ1,AZ3,4.47835042137919,4.95405995995011,1.06568936756621e-07,4.35127531095891e-05
TRINITY_DN696639_c4_g4_i3,AZ1,AZ3,-4.41536559052633,4.49327532119121,1.07733552436799e-07,4.35127531095891e-05
TRINITY_DN687889_c0_g1_i3,AZ1,AZ3,4.1139191520714,5.98513888634857,1.13819712873199e-07,4.52743776069712e-05
TRINITY_DN697587_c11_g4_i1,AZ1,AZ3,-4.25935134345012,4.97044240860492,1.17965757401998e-07,4.62232093891738e-05
TRINITY_DN682242_c13_g5_i2,AZ1,AZ3,-3.98346027688501,6.60047885270131,1.25684327666682e-07,4.85233919740208e-05
TRINITY_DN696125_c1_g2_i9,AZ1,AZ3,-4.1637351432217,5.18412654523811,1.30889013237391e-07,4.98004241234961e-05
TRINITY_DN695884_c5_g1_i6,AZ1,AZ3,-4.14305839660618,5.23161059066813,1.4881154939701e-07,5.58107086617099e-05
TRINITY_DN690892_c11_g1_i2,AZ1,AZ3,-4.15563788844247,5.10599078540555,2.0881245758529e-07,7.72106119575579e-05
TRINITY_DN686901_c5_g1_i1,AZ1,AZ3,-4.07916159182774,5.3555199624572,2.23130142214807e-07,8.13588281050741e-05
TRINITY_DN688606_c15_g1_i1,AZ1,AZ3,-3.90180174300171,6.24630140997167,2.31038747447651e-07,8.30884963937423e-05
