gene_id,Dominant_AZ1,Dominant_AZ2,Dominant_AZ3,AZ1_Dominant_TMM,AZ2_Dominant_TMM,AZ3_Dominant_TMM
TRINITY_DN696364_c0_g2,TRINITY_DN696364_c0_g2_i15,TRINITY_DN696364_c0_g2_i10,TRINITY_DN696364_c0_g2_i9,3.268,7.397,200.383
TRINITY_DN695985_c2_g1,TRINITY_DN695985_c2_g1_i20,TRINITY_DN695985_c2_g1_i20,TRINITY_DN695985_c2_g1_i6,5.349,11.698,62.142
TRINITY_DN698466_c1_g1,TRINITY_DN698466_c1_g1_i1,TRINITY_DN698466_c1_g1_i4,TRINITY_DN698466_c1_g1_i26,11.029,53.074,35.642
TRINITY_DN694476_c0_g1,TRINITY_DN694476_c0_g1_i20,TRINITY_DN694476_c0_g1_i16,TRINITY_DN694476_c0_g1_i16,0.722,3.718,1.052
TRINITY_DN695113_c1_g1,TRINITY_DN695113_c1_g1_i22,TRINITY_DN695113_c1_g1_i10,TRINITY_DN695113_c1_g1_i1,0.496,3.377,1.467
TRINITY_DN695934_c2_g1,TRINITY_DN695934_c2_g1_i17,TRINITY_DN695934_c2_g1_i14,TRINITY_DN695934_c2_g1_i7,2.663,23.402,4.698
TRINITY_DN699084_c0_g2,TRINITY_DN699084_c0_g2_i23,TRINITY_DN699084_c0_g2_i15,TRINITY_DN699084_c0_g2_i23,0.815,4.058,1.669
TRINITY_DN689760_c0_g1,TRINITY_DN689760_c0_g1_i19,TRINITY_DN689760_c0_g1_i10,TRINITY_DN689760_c0_g1_i10,2.148,12.904,4.861
TRINITY_DN692617_c1_g1,TRINITY_DN692617_c1_g1_i19,TRINITY_DN692617_c1_g1_i17,TRINITY_DN692617_c1_g1_i19,0.729,3.406,0.997
TRINITY_DN700028_c5_g1,TRINITY_DN700028_c5_g1_i6,TRINITY_DN700028_c5_g1_i15,TRINITY_DN700028_c5_g1_i6,0.499,3.868,2.572
TRINITY_DN696535_c4_g2,TRINITY_DN696535_c4_g2_i7,TRINITY_DN696535_c4_g2_i15,TRINITY_DN696535_c4_g2_i15,6.979,110.759,33.494
TRINITY_DN695469_c1_g1,TRINITY_DN695469_c1_g1_i10,TRINITY_DN695469_c1_g1_i1,TRINITY_DN695469_c1_g1_i10,8.285,72.281,23.867
TRINITY_DN696298_c2_g1,TRINITY_DN696298_c2_g1_i18,TRINITY_DN696298_c2_g1_i9,TRINITY_DN696298_c2_g1_i4,0.498,1.933,1.288
TRINITY_DN697360_c2_g1,TRINITY_DN697360_c2_g1_i6,TRINITY_DN697360_c2_g1_i14,TRINITY_DN697360_c2_g1_i7,0.712,5.744,1.686
TRINITY_DN697245_c0_g1,TRINITY_DN697245_c0_g1_i8,TRINITY_DN697245_c0_g1_i20,TRINITY_DN697245_c0_g1_i6,0.523,4.871,0.604
TRINITY_DN690749_c7_g2,TRINITY_DN690749_c7_g2_i6,TRINITY_DN690749_c7_g2_i9,TRINITY_DN690749_c7_g2_i13,0.285,2.03,0.499
