sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN668781_c0_g1,AZ1,AZ2,-5.77320189633699,7.18548097800755,4.65162767959612e-12,8.17011885644263e-08
TRINITY_DN698944_c1_g2,AZ1,AZ2,-5.75259795610948,6.41546028297539,1.14069864118217e-11,1.00176154668618e-07
TRINITY_DN698789_c3_g7,AZ1,AZ2,-5.39479499452966,7.77598408276529,1.98358892686496e-11,1.01210918203955e-07
TRINITY_DN688158_c1_g2,AZ1,AZ2,-5.34642537053087,7.94538659751149,2.30496283771249e-11,1.01210918203955e-07
TRINITY_DN698471_c0_g1,AZ1,AZ2,-5.61181078340637,6.27824699420324,2.89835717582157e-11,1.0181349087226e-07
TRINITY_DN697779_c3_g1,AZ1,AZ2,-5.47006699775334,6.52181710393755,3.97630888956157e-11,1.0237554955692e-07
TRINITY_DN698928_c0_g1,AZ1,AZ2,-5.2937747418843,7.60930391181103,4.08010047197928e-11,1.0237554955692e-07
TRINITY_DN699256_c1_g1,AZ1,AZ2,-5.48113884645666,5.91453709844976,1.04544457352993e-10,2.29527356118496e-07
TRINITY_DN697642_c1_g2,AZ1,AZ2,5.23986564001139,6.59472993075499,1.20759002142734e-10,2.33197276238529e-07
TRINITY_DN700088_c0_g3,AZ1,AZ2,-5.34982745483374,6.12901642918857,1.32770027464432e-10,2.33197276238529e-07
TRINITY_DN696959_c18_g1,AZ1,AZ2,-5.00479369990606,7.69741304194659,2.03773479737678e-10,3.25370672555689e-07
TRINITY_DN696806_c9_g1,AZ1,AZ2,-4.85346789336311,6.82818325944517,9.89392961185618e-10,1.44814149752202e-06
TRINITY_DN700691_c16_g1,AZ1,AZ2,-4.91505491444276,6.35228879789776,1.24203666253195e-09,1.6780870723624e-06
TRINITY_DN696282_c4_g1,AZ1,AZ2,-4.92601461514717,5.90976986638678,1.50799000545952e-09,1.89188117542079e-06
TRINITY_DN699885_c11_g1,AZ1,AZ2,-4.96233793854322,5.6503783188262,1.90419537429059e-09,2.13238963983428e-06
TRINITY_DN699431_c0_g1,AZ1,AZ2,-4.92530850169529,5.71976348605473,2.04736930304123e-09,2.13238963983428e-06
TRINITY_DN699698_c7_g8,AZ1,AZ2,-4.9793523513936,5.55354751737941,2.06391618521878e-09,2.13238963983428e-06
TRINITY_DN698789_c3_g3,AZ1,AZ2,-4.7901388991091,6.41462006868977,2.18937143515134e-09,2.13633999372212e-06
TRINITY_DN682419_c9_g1,AZ1,AZ2,-4.71083076031158,6.33862609712945,3.61793084492312e-09,3.34449144001209e-06
TRINITY_DN696897_c1_g7,AZ1,AZ2,-4.81200055539689,5.61130503966827,4.17324951416499e-09,3.66494772333969e-06
TRINITY_DN700691_c16_g2,AZ1,AZ2,-4.77438920233036,5.67305902014055,4.50150641043283e-09,3.76497421870677e-06
TRINITY_DN699765_c6_g3,AZ1,AZ2,-4.62561818335737,6.46898126170379,4.9018387115987e-09,3.86146565565978e-06
TRINITY_DN698666_c0_g2,AZ1,AZ2,-4.8740372384178,5.33003186257628,5.0565765247196e-09,3.86146565565978e-06
TRINITY_DN695611_c4_g1,AZ1,AZ2,-4.71309831791032,5.94997617648174,6.00551248521760e-09,4.39503422043174e-06
TRINITY_DN699934_c6_g1,AZ1,AZ2,-4.6408922074631,6.152911252143,6.52188228559443e-09,4.58201361856722e-06
TRINITY_DN697320_c2_g4,AZ1,AZ2,-4.51834539596256,6.41506068616642,9.12241654204064e-09,6.16254323632315e-06
TRINITY_DN697320_c2_g7,AZ1,AZ2,-4.37522290496965,7.00983346356923,1.21330025335741e-08,7.89274283332209e-06
TRINITY_DN700283_c2_g1,AZ1,AZ2,-4.6629237354503,5.25160757855517,1.48925409259366e-08,9.34187817225537e-06
TRINITY_DN700545_c6_g1,AZ1,AZ2,-4.53755673377366,5.62493692556025,1.54811346163865e-08,9.37622925524869e-06
TRINITY_DN672229_c0_g1,AZ1,AZ2,-4.61742744841087,5.2084503751009,1.98583042725769e-08,1.1626375208118e-05
TRINITY_DN697359_c2_g5,AZ1,AZ2,4.299865293601,6.74782245872207,2.27580836527223e-08,1.2894289718594e-05
TRINITY_DN700362_c2_g2,AZ1,AZ2,-4.53506508276668,5.2432652633531,2.71863933814464e-08,1.49219316672414e-05
TRINITY_DN695615_c3_g1,AZ1,AZ2,-4.41489303860164,5.50879740480127,3.29206657311101e-08,1.75217749364006e-05
TRINITY_DN699156_c0_g2,AZ1,AZ2,-4.51694326327298,5.11338242816934,3.73813548080112e-08,1.93107681131738e-05
TRINITY_DN697245_c0_g1,AZ1,AZ2,-4.32533927162111,5.58192984665706,6.62927048076023e-08,3.24833093256166e-05
TRINITY_DN700078_c5_g1,AZ1,AZ2,-4.34425484577751,5.52311309364749,6.65793176794692e-08,3.24833093256166e-05
TRINITY_DN697642_c1_g8,AZ1,AZ2,-4.25526569344278,5.65796316930205,8.46077437564711e-08,4.01635246307746e-05
TRINITY_DN699098_c5_g2,AZ1,AZ2,-4.24036948415053,5.50198264208906,1.12549185673577e-07,5.15584443127171e-05
TRINITY_DN697867_c6_g6,AZ1,AZ2,4.14522298902286,5.61065300298479,1.14482995228648e-07,5.15584443127171e-05
TRINITY_DN698500_c14_g1,AZ1,AZ2,-4.04223460956261,6.33992256475915,1.23465964238406e-07,5.23640095950138e-05
TRINITY_DN699180_c1_g1,AZ1,AZ2,-4.23703167147499,5.16454794970451,1.24422432834968e-07,5.23640095950138e-05
TRINITY_DN699570_c3_g2,AZ1,AZ2,4.33132353489696,5.08091749988558,1.25215691356786e-07,5.23640095950138e-05
TRINITY_DN699105_c0_g2,AZ1,AZ2,-3.98022849520433,6.54870075828948,1.47033325972414e-07,6.00579845902206e-05
TRINITY_DN684507_c5_g1,AZ1,AZ2,-4.151201759682,5.26100804637016,1.61705889816478e-07,6.34874160192668e-05
TRINITY_DN700591_c5_g1,AZ1,AZ2,-4.1741842047577,5.43990435358114,1.65462450877955e-07,6.34874160192668e-05
TRINITY_DN688561_c13_g1,AZ1,AZ2,-4.14667392071381,5.25677743222306,1.66273123257019e-07,6.34874160192668e-05
TRINITY_DN694476_c0_g1,AZ1,AZ2,-4.05860830732201,5.72128315574682,2.03988282959801e-07,7.62308553597008e-05
TRINITY_DN696870_c14_g1,AZ1,AZ2,-4.20873600043221,4.82414163947259,2.34634765583268e-07,8.46550747832428e-05
TRINITY_DN700137_c1_g2,AZ1,AZ2,-4.24438274878551,4.73542851963813,2.36170500135442e-07,8.46550747832428e-05
TRINITY_DN697306_c7_g2,AZ1,AZ2,-4.13125228461093,5.3231982217078,2.42913037509277e-07,8.52768092629063e-05
TRINITY_DN699926_c0_g1,AZ1,AZ2,-4.08174520868107,5.19620668395896,2.47615422022786e-07,8.52768092629063e-05
TRINITY_DN698271_c4_g3,AZ1,AZ2,-3.88464399661215,6.39729686882877,2.73172271951075e-07,9.02529188904549e-05
TRINITY_DN700019_c2_g1,AZ1,AZ2,-3.9041697447611,6.24713242523742,2.77080253376747e-07,9.02529188904549e-05
TRINITY_DN698905_c2_g4,AZ1,AZ2,-4.00506093589634,5.67130748300781,2.83530606031302e-07,9.02529188904549e-05
TRINITY_DN697578_c2_g2,AZ1,AZ2,3.90201790442179,6.2085664391293,2.83634792768002e-07,9.02529188904549e-05
TRINITY_DN693672_c1_g1,AZ1,AZ2,-4.09524281640819,5.03218410976758,2.87756972094368e-07,9.02529188904549e-05
TRINITY_DN700063_c0_g3,AZ1,AZ2,-4.13316121218113,4.75381364636579,3.7096137614797e-07,0.000114308168608122
TRINITY_DN684725_c1_g1,AZ1,AZ2,-4.06023164273449,4.90253290176462,4.14945596299985e-07,0.000125656973334706
TRINITY_DN692251_c0_g2,AZ1,AZ2,-3.98867627991327,5.10970691100922,4.36514463176314e-07,0.000129948136122522
TRINITY_DN699570_c4_g1,AZ1,AZ2,-3.7292468883963,7.18106634777621,4.68828725594424e-07,0.000135362648312387
TRINITY_DN694942_c3_g6,AZ1,AZ2,-4.09383542603781,4.71731877093233,4.70210521062647e-07,0.000135362648312387
TRINITY_DN696589_c0_g1,AZ1,AZ2,-3.99633333541333,5.2739916714592,4.77823058265087e-07,0.000135362648312387
TRINITY_DN691732_c0_g4,AZ1,AZ2,-3.77846757144902,6.2665822723315,5.30954166513213e-07,0.000148026650486319
TRINITY_DN700110_c1_g6,AZ1,AZ2,-3.99454228628717,4.84167570129117,5.9459526622571e-07,0.000159012126494401
TRINITY_DN700217_c2_g2,AZ1,AZ2,-3.99454228628717,4.84167570129117,5.9459526622571e-07,0.000159012126494401
TRINITY_DN700657_c9_g3,AZ1,AZ2,-3.83563747793983,5.77321823715838,5.9751766958725e-07,0.000159012126494401
TRINITY_DN696939_c2_g1,AZ1,AZ2,-3.71998843035243,6.50537750962479,6.25548770306577e-07,0.000163987143308429
TRINITY_DN695116_c0_g1,AZ1,AZ2,-3.90290392679046,5.39492594806466,6.40754436700125e-07,0.000165503101855897
TRINITY_DN697779_c3_g2,AZ1,AZ2,-3.91827942144383,5.27417453632075,6.87611923241863e-07,0.000175032113330726
TRINITY_DN696531_c1_g1,AZ1,AZ2,-3.60117108903915,8.26154401050268,7.87093110137677e-07,0.000197492905520831
TRINITY_DN697359_c2_g4,AZ1,AZ2,3.65698940949319,6.59678389926723,8.29180962460287e-07,0.000205123020065528
TRINITY_DN700542_c8_g3,AZ1,AZ2,-3.70212372468188,6.02379643663984,9.52529845987666e-07,0.000232364364096213
