Pfam_ID	Domain_Description	Counts
PF00076.29	NULL	25
PF13893.13	NULL	13
PF14392.12	NULL	10
PF00501.35	NULL	9
PF13193.13	NULL	9
PF00078.33	NULL	7
PF30913.1	NULL	6
PF00013.36	NULL	6
PF13516.13	NULL	5
PF00560.40	NULL	5
PF01395.28	NULL	5
PF01490.25	NULL	4
PF01463.30	NULL	4
PF00462.31	NULL	4
PF13917.12	NULL	4
PF00665.33	NULL	4
PF22938.3	NULL	4
PF01607.30	NULL	3
PF01442.24	NULL	3
PF00992.26	NULL	2
PF00011.28	NULL	2
PF28528.2	NULL	2
PF00650.26	NULL	2
PF00069.32	NULL	2
PF07714.24	NULL	2
PF01061.30	NULL	2
PF12698.14	NULL	2
PF01153.26	NULL	2
PF07650.24	NULL	2
PF07464.17	NULL	2
