	AZ1	AZ2	AZ3
TRINITY_DN1224563_c0_g1	0.975	7.582	1.932
TRINITY_DN47701_c0_g1	8.189	21.26	2.641
TRINITY_DN528793_c0_g1	42.246	30.222	1.426
TRINITY_DN538751_c0_g1	16.315	2.129	11.695
TRINITY_DN566660_c0_g1	22.231	9.734	1.365
TRINITY_DN607019_c0_g1	46.267	31.186	7.5
TRINITY_DN657122_c0_g1	8.964	85.745	53.448
TRINITY_DN661991_c0_g1	1.438	4.88	16.899
TRINITY_DN662467_c0_g1	0.423	45.964	3.104
TRINITY_DN668781_c0_g1	1.986	115.655	12.588
TRINITY_DN670408_c0_g1	1.852	2.067	16.08
TRINITY_DN671106_c0_g1	3.001	18.535	1.479
TRINITY_DN672229_c0_g1	1.092	28.395	8.622
TRINITY_DN672452_c0_g1	0.99	11.564	2.197
TRINITY_DN672734_c0_g1	0.63	19.48	2.67
TRINITY_DN673533_c0_g1	2.322	0.747	62.421
TRINITY_DN675531_c0_g1	4.055	27.306	16.163
TRINITY_DN675633_c1_g1	11.317	49.557	88.213
TRINITY_DN675698_c0_g1	1.005	2.443	9.27
TRINITY_DN676467_c0_g1	2.247	25.006	3.609
TRINITY_DN676953_c0_g1	27.554	35.447	1.89
TRINITY_DN677483_c0_g1	15.268	137.653	56.267
TRINITY_DN679331_c0_g1	1.968	3.485	15.883
TRINITY_DN679366_c0_g1	3.7	3.046	21.989
TRINITY_DN679629_c3_g1	0.614	1.475	17.302
TRINITY_DN679902_c1_g1	0.23	0.963	10.768
TRINITY_DN680002_c1_g1	5.251	39.522	21.228
TRINITY_DN680684_c0_g1	0.528	42.249	6.265
TRINITY_DN680789_c0_g1	1.637	10.691	6.464
TRINITY_DN682112_c10_g2	0.608	1.019	15.317
TRINITY_DN682262_c23_g4	5110.511	1078.288	3378.423
TRINITY_DN682419_c9_g1	2.252	62.891	6.588
TRINITY_DN682612_c0_g1	1.022	13.853	2.207
TRINITY_DN683501_c10_g5	1.106	3.03	13.742
TRINITY_DN683508_c0_g1	0.928	15.326	1.462
TRINITY_DN684342_c9_g3	0.515	1.127	9.213
TRINITY_DN684491_c15_g2	8.469	35.725	65.75
TRINITY_DN684507_c5_g1	1.541	29.033	4.022
TRINITY_DN684725_c1_g1	1.246	22.532	1.828
TRINITY_DN684826_c8_g7	1.063	13.657	4.178
TRINITY_DN684930_c11_g1	2.761	3.994	36.081
TRINITY_DN685065_c18_g1	1.449	20.038	1.055
TRINITY_DN685251_c17_g3	1.246	4.872	15.561
TRINITY_DN685463_c3_g1	1.729	4.363	18.516
TRINITY_DN685472_c19_g1	2.703	8.93	20.976
TRINITY_DN685506_c9_g1	150.996	43.665	340.778
TRINITY_DN685830_c5_g1	16.645	138.353	38.221
TRINITY_DN686126_c3_g3	7.361	51.514	46.537
TRINITY_DN686901_c5_g1	0.377	1.086	8.653
TRINITY_DN687614_c11_g1	1.321	4.277	11.097
TRINITY_DN688158_c1_g2	4.413	194.934	21.111
TRINITY_DN688158_c1_g3	0.655	16.268	1.359
TRINITY_DN688228_c17_g5	11.867	7.741	1.319
TRINITY_DN688561_c13_g1	1.468	29.005	2.793
TRINITY_DN688606_c15_g1	1.462	4.569	23.008
TRINITY_DN688649_c6_g1	1.979	14.826	4.994
TRINITY_DN688707_c0_g1	1.762	1.485	23.132
TRINITY_DN688707_c0_g2	1.824	1.319	17.837
TRINITY_DN689225_c8_g2	1.21	3.228	17.335
TRINITY_DN689231_c0_g1	19.496	98.711	1.708
TRINITY_DN689236_c2_g1	8.602	25.714	92.461
TRINITY_DN689446_c11_g2	10.685	28.715	72.706
TRINITY_DN689570_c0_g1	0.709	36.328	2.624
TRINITY_DN689638_c1_g1	18.538	108.246	95.8
TRINITY_DN689723_c13_g1	1.046	9.685	6.256
TRINITY_DN689760_c0_g1	11.771	77.212	21.774
TRINITY_DN689820_c10_g7	1.012	1.032	11.545
TRINITY_DN689854_c10_g1	0.874	1.518	15.485
TRINITY_DN689962_c11_g1	0.382	97.646	6.072
TRINITY_DN690021_c2_g1	1.046	14.779	1.843
TRINITY_DN690037_c3_g6	2.475	3.768	27.8
TRINITY_DN690049_c3_g1	0.542	0.973	29.512
TRINITY_DN690115_c14_g1	1.713	1.868	14.033
TRINITY_DN690152_c1_g1	7.767	43.809	87.124
TRINITY_DN690436_c27_g1	2.965	39.515	3.914
TRINITY_DN690498_c5_g1	1.572	13.371	3.292
TRINITY_DN690527_c1_g1	1.086	10.4	1.909
TRINITY_DN690537_c22_g5	0.903	1.014	16.782
TRINITY_DN690749_c7_g2	0.644	12.088	1.198
TRINITY_DN690771_c13_g3	0.233	1.081	13.932
TRINITY_DN690857_c5_g1	0.0	10.752	1.264
TRINITY_DN690930_c3_g1	16.03	17.262	181.81
TRINITY_DN691447_c13_g1	5.865	18.42	69.825
TRINITY_DN691549_c5_g1	0.289	1.962	14.999
TRINITY_DN691600_c1_g1	20.372	126.807	43.306
TRINITY_DN691732_c0_g4	3.929	57.848	4.86
TRINITY_DN691914_c2_g2	14.436	1.94	6.015
TRINITY_DN691921_c17_g5	0.281	1.008	12.049
TRINITY_DN691952_c2_g3	7.49	1.458	17.971
TRINITY_DN692053_c0_g5	0.229	23.45	2.761
TRINITY_DN692142_c8_g3	44.509	6.508	36.261
TRINITY_DN692231_c7_g2	0.891	82.834	7.661
TRINITY_DN692251_c0_g2	1.521	25.973	5.23
TRINITY_DN692418_c7_g1	0.702	21.089	3.66
TRINITY_DN692504_c0_g1	3.15	24.924	4.655
TRINITY_DN692617_c1_g1	2.74	20.598	5.645
TRINITY_DN692701_c17_g1	2.205	15.917	3.02
TRINITY_DN692711_c0_g1	1.04	16.719	2.471
TRINITY_DN692765_c8_g1	5.736	12.305	38.677
TRINITY_DN692781_c18_g1	1.608	13.926	3.549
TRINITY_DN692903_c12_g2	0.716	1.209	18.956
TRINITY_DN692914_c14_g1	0.492	35.573	2.647
